"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"29433","Moraxella ovis strain 199/55 chromosome, complete genome",84941,0.504609992277075,84322.8,0.500955249325225
"93061","Staphylococcus aureus subsp. aureus NCTC 8325 chromosome, complete genome",51095,0.303540664171568,50521.8,0.300146334922298
"573983","Moraxella porci DSM 25326 strain CCUG 54912 54912T_ctg_0000016, whole genome shotgun sequence",7868,0.0467415196340522,8479.4,0.0503753813830534
"1007099","Pseudomonas kuykendallii strain NRRL B-59562, whole genome shotgun sequence",4813,0.0285926453989188,4784.5,0.028424142679297
"176280","Staphylococcus epidermidis ATCC 12228, complete sequence",4372,0.0259727915404265,4945.1,0.0293782746628823
"146827","Corynebacterium simulans strain PES1 chromosome, complete genome",2268,0.0134735341293887,2274.4,0.0135120966962312
"76759","Pseudomonas monteilii strain USDA-ARS-USMARC-56711 chromosome, complete genome",1279,0.00759817026079724,1286.2,0.00764130207497983
"169292","Corynebacterium aurimucosum strain 1237_CAUR 173_5055_550973_73_,90+,99+, whole genome shotgun sequence",1127,0.00669518208281352,1196.2,0.00710627347231707
"525260","Corynebacterium accolens ATCC 49725 SCAFFOLD5, whole genome shotgun sequence",1113,0.00661201211905186,1040.6,0.00618211994834579
"48936","Novosphingobium subterraneum strain DSM 12447 NJ75_contig000007, whole genome shotgun sequence",610,0.00362383413532941,622,0.00369526398295291
"198214","Shigella flexneri 2a str. 301 chromosome, complete genome",531,0.00315451791124577,529.4,0.00314491441742351
"171101","Streptococcus pneumoniae R6, complete sequence",525,0.0031188736410622,519.2,0.00308439917195309
"498211","Cellvibrio japonicus Ueda107, complete sequence",450,0.0026733202637676,443.5,0.00263478433530902
"226185","Enterococcus faecalis V583, complete sequence",360,0.00213865621101408,355.5,0.00211201830720276
"176299","Agrobacterium fabrum str. C58 chromosome circular, complete sequence",354,0.00210301194083051,305.4,0.00181430666709244
"1285583","Corynebacterium casei LMG S-19264 chromosome, complete genome",319,0.00189508703142636,310.6,0.00184531819930471
"180195","Herbaspirillum autotrophicum strain IAM 14942 contig71, whole genome shotgun sequence",314,0.00186538347294006,313,0.00185953935955668
"399739","Pseudomonas mendocina ymp, complete sequence",313,0.0018594427612428,283,0.00168128205685721
"398511","Alkalihalophilus pseudofirmus OF4, complete sequence",305,0.00181191706766471,310.6,0.00184523760755415
"266834","Sinorhizobium meliloti 1021, complete sequence",301,0.00178815422087566,293.5,0.00174363268317211
"416872","Halomonas saccharevitans strain CGMCC 1.6493, whole genome shotgun sequence",286,0.00169904354541674,287.7,0.00170908703273746
"1217656","Acinetobacter guillouiae NIPH 991 acLrU-supercont1.2, whole genome shotgun sequence",266,0.00158022931147151,267.9,0.00159183076246661
"556533","Pseudomonas benzenivorans strain DSM 8628, whole genome shotgun sequence",226,0.00134260084358106,265.4,0.001576938502916
"1114924","Albimonas pacifica strain CGMCC 1.11030, whole genome shotgun sequence",200,0.00118814233945227,233.4,0.00138674060542049
"1385519","Knoellia aerolata DSM 18566 contig6, whole genome shotgun sequence",175,0.00103962454702073,173.9,0.00103306616952934
"1122602","Nesterenkonia alba DSM 19423 H578DRAFT_scaffold00006.6_C, whole genome shotgun sequence",156,0.000926751024772768,151.4,0.00089954199775527
"393763","Anaerobacillus alkalilacustris strain DSM 18345 Ga0137925_101, whole genome shotgun sequence",133,0.000790114655735757,127.6,0.000757957842473711
"983920","Novosphingobium nitrogenifigens DSM 19370 scaffold00012, whole genome shotgun sequence",109,0.000647537575001485,108.3,0.000643605335529931
"1191209","Halomonas desiderata SP1 contig_132, whole genome shotgun sequence",106,0.000629715439909701,104,0.000617943876484299
"34060","Moraxella caviae strain CCUG 355 355T_ctg_0000060, whole genome shotgun sequence",100,0.000594071169726133,101.6,0.000603381172883894
"158500","Novosphingobium resinovorum strain SA1 chromosome, complete genome",99,0.000588130458028872,100.5,0.000597096765415441
"1284","Staphylococcus hyicus strain ATCC 11249 chromosome, complete genome",92,0.000546545476148042,92.9,0.000551642047585516
"306537","Corynebacterium jeikeium K411, complete sequence",92,0.000546545476148042,93.5,0.000555761724352086
"872970","Amphibacillus marinus strain CGMCC 1.10434, whole genome shotgun sequence",92,0.000546545476148042,86.4,0.000513322502469015
"398578","Delftia acidovorans SPH-1, complete sequence",88,0.000522782629358997,86.4,0.000513080376584175
