"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"71421","Haemophilus influenzae Rd KW20, complete sequence",31340,0.431460550408194,31350.6,0.431736669552477
"171101","Streptococcus pneumoniae R6, complete sequence",29377,0.404435755881989,29353.7,0.404237557676327
"1351754","Avibacterium paragallinarum JF4211, whole genome shotgun sequence",7723,0.106323223701419,7718.5,0.106293491584468
"1888195","Streptococcus himalayensis strain HTS2 chromosome, complete genome",1786,0.0245880198796756,1779.5,0.0245062412952912
"1906744","Rodentibacter heylii strain 1998236014 contig_50, whole genome shotgun sequence",307,0.0042264961383317,311.8,0.0042938819405854
"1335","Streptococcus equinus strain AG46 BV58DRAFT_scf7180000000002_quiver_dupTrim_6839.1_C, whole genome shotgun sequence",173,0.00238170629293611,162,0.00223068125410105
"467705","Streptococcus gordonii str. Challis substr. CH1, complete sequence",139,0.00191362528738797,157.8,0.00217262135789421
"169292","Corynebacterium aurimucosum strain 1237_CAUR 173_5055_550973_73_,90+,99+, whole genome shotgun sequence",107,0.00147307845863678,115.7,0.00159290324949047
"1123317","Streptococcus sobrinus DSM 20742 = ATCC 33478 strain DSM 20742 BS63DRAFT_scaffold00049.49_C, whole genome shotgun sequence",101,0.00139047592824594,106,0.00145960209339883
"525260","Corynebacterium accolens ATCC 49725 SCAFFOLD5, whole genome shotgun sequence",101,0.00139047592824594,93.1,0.00128204980438917
"365659","Streptococcus mitis B6, complete sequence",78,0.00107383289508102,73.7,0.00101446267791863
"38815","Desulfuromonas acetexigens isolate DSM 1397, whole genome shotgun sequence",78,0.00107383289508102,73.5,0.00101256419255079
"279808","Staphylococcus haemolyticus JCSC1435, complete sequence",59,0.000812258215510002,52.6,0.000724269254812394
"1120929","Acinetobacter towneri DSM 14962 = CIP 107472 acMad-supercont1.37, whole genome shotgun sequence",59,0.000812258215510002,58.8,0.000809153155711663
"1033743","Paenibacillus senegalensis JC66, whole genome shotgun sequence",58,0.000798491127111527,58.5,0.000805737577804669
"714","Aggregatibacter actinomycetemcomitans strain 624 chromosome, complete genome",45,0.000619518977931357,45.2,0.000622267466672933
"937773","Staphylococcus pseudintermedius HKU10-03, complete sequence",42,0.000578217712735933,42.6,0.000586830793425316
"1242245","Acinetobacter johnsonii XBB1 chromosome, complete genome",36,0.000495615182345086,38,0.000523990535574666
"1367847","Paracoccus aminophilus JCM 7686, complete sequence",33,0.000454313917149662,31,0.000426598050294486
