"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"29433","Moraxella ovis strain 199/55 chromosome, complete genome",18528,0.294900362895524,18487.3,0.294280385219672
"171101","Streptococcus pneumoniae R6, complete sequence",16168,0.257337492837588,16156.1,0.257172565024985
"176280","Staphylococcus epidermidis ATCC 12228, complete sequence",8404,0.133762016935124,8260.5,0.131489909531328
"883103","Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence",8246,0.131247214617686,8240,0.131163493916921
"435837","Staphylococcus hominis subsp. hominis C80 supercont1.5, whole genome shotgun sequence",2706,0.0430699688037181,2849,0.0453501467490927
"573983","Moraxella porci DSM 25326 strain CCUG 54912 54912T_ctg_0000016, whole genome shotgun sequence",1953,0.0310848666199784,1995.9,0.0317713814988686
"1888195","Streptococcus himalayensis strain HTS2 chromosome, complete genome",1150,0.018303940918062,1148.6,0.0182838118087129
"525260","Corynebacterium accolens ATCC 49725 SCAFFOLD5, whole genome shotgun sequence",967,0.0153912268415356,942.4,0.0150003370622659
"753702","Alkalibacterium subtropicum strain DSM 23664, whole genome shotgun sequence",823,0.013099255109187,829.6,0.0132051669838032
"169292","Corynebacterium aurimucosum strain 1237_CAUR 173_5055_550973_73_,90+,99+, whole genome shotgun sequence",654,0.01040937161775,679.1,0.0108102125728711
"1121368","Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00012.12_C, whole genome shotgun sequence",242,0.00385178582797479,240.7,0.00383119356656702
"1367847","Paracoccus aminophilus JCM 7686, complete sequence",205,0.0032628764245241,202.7,0.00322647416064813
"467705","Streptococcus gordonii str. Challis substr. CH1, complete sequence",141,0.00224422232125804,134.3,0.00213850447053504
"38815","Desulfuromonas acetexigens isolate DSM 1397, whole genome shotgun sequence",129,0.00205322467689565,125.4,0.00199636205531362
"498211","Cellvibrio japonicus Ueda107, complete sequence",117,0.00186222703253327,115.6,0.00184047046510115
"44008","Enterococcus cecorum strain SA3 chromosome",73,0.00116190233653785,71.4,0.00113688779320196
"1123317","Streptococcus sobrinus DSM 20742 = ATCC 33478 strain DSM 20742 BS63DRAFT_scaffold00049.49_C, whole genome shotgun sequence",67,0.00106640351435666,69.6,0.0011071233128765
"1121865","Enterococcus columbae DSM 7374 = ATCC 51263 acpMI-supercont1.2, whole genome shotgun sequence",60,0.000954988221811931,61.9,0.000985326440177541
"1335","Streptococcus equinus strain AG46 BV58DRAFT_scf7180000000002_quiver_dupTrim_6839.1_C, whole genome shotgun sequence",59,0.000939071751448399,56.8,0.000904083075222072
"1120929","Acinetobacter towneri DSM 14962 = CIP 107472 acMad-supercont1.37, whole genome shotgun sequence",57,0.000907238810721334,55.7,0.000886797117708741
"1219360","Erwinia persicina NBRC 102418, whole genome shotgun sequence",56,0.000891322340357802,55.2,0.000878295238182117
"427920","Alkalihalobacterium alkalinitrilicum strain DSM 22532 Scaffold1, whole genome shotgun sequence",53,0.000843572929267206,50.3,0.000801371910967183
"206672","Bifidobacterium longum NCC2705, complete sequence",48,0.000763990577449545,46,0.000732184185942039
"378753","Kocuria rhizophila DC2201, complete sequence",46,0.00073215763672248,45.5,0.000723488726067053
"1405","Bacillus mycoides strain ATCC 6462 chromosome, complete genome",45,0.000716241166358948,40.5,0.000645221527581856
"53374","Corynebacterium coyleae strain DSM 44184, whole genome shotgun sequence",44,0.000700324695995416,42.3,0.000672799413423922
"883156","Veillonella seminalis ACS-216-V-Col6b supercont1.2, whole genome shotgun sequence",43,0.000684408225631884,42.9,0.000683106814524915
"393763","Anaerobacillus alkalilacustris strain DSM 18345 Ga0137925_101, whole genome shotgun sequence",42,0.000668491755268352,39.2,0.000624137739256752
"883081","Alloiococcus otitis ATCC 51267 supercont1.2, whole genome shotgun sequence",41,0.00065257528490482,41.2,0.000655283408605425
"262209","Janibacter melonis strain CD11-4 contig_6, whole genome shotgun sequence",40,0.000636658814541287,39.6,0.000629852152663942
"160488","Pseudomonas putida KT2440, complete sequence",37,0.000588909403450691,37,0.000589752487669023
"1284","Staphylococcus hyicus strain ATCC 11249 chromosome, complete genome",37,0.000588909403450691,38.1,0.000606782296881755
"224914","Brucella melitensis bv. 1 str. 16M chromosome I, complete sequence",34,0.000541159992360094,34.5,0.000548902917620076
"1367849","Agrobacterium larrymoorei AF3.10 = ATCC 51759 L886DRAFT_scaffold00070.70_C, whole genome shotgun sequence",34,0.000541159992360094,32,0.000508629110078193
"398578","Delftia acidovorans SPH-1, complete sequence",32,0.00050932705163303,32.1,0.000510387028095819
"748909","Nocardioides alpinus strain CGMCC 1.10697, whole genome shotgun sequence",32,0.00050932705163303,31.5,0.000500632798342947
"259536","Psychrobacter arcticus 273-4, complete sequence",31,0.000493410581269498,29.5,0.000469803718300047
"1242245","Acinetobacter johnsonii XBB1 chromosome, complete genome",30,0.000477494110905965,31.7,0.000504669305213919
"34060","Moraxella caviae strain CCUG 355 355T_ctg_0000060, whole genome shotgun sequence",28,0.000445661170178901,27.1,0.000432051403401253
"1300150","Enterococcus mundtii QU 25, complete sequence",27,0.000429744699815369,27.9,0.000443437111700172
"621456","Sphingomonas melonis TY chromosome, complete genome",27,0.000429744699815369,26,0.000413102536777998
"1158601","Enterococcus malodoratus ATCC 43197 acOtv-supercont2.1, whole genome shotgun sequence",26,0.000413828229451837,25.9,0.000412654154686604
"525640","Paracoccus chinensis strain CGMCC 1.7655, whole genome shotgun sequence",24,0.000381995288724772,25.3,0.000403029414628732
