"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"171101","Streptococcus pneumoniae R6, complete sequence",155888,0.516460762194415,155728.7,0.515936432900151
"1121368","Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00012.12_C, whole genome shotgun sequence",45183,0.149692385675807,45486.8,0.150699992510896
"883103","Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence",30396,0.100702692495006,30349.8,0.100550258204742
"1888195","Streptococcus himalayensis strain HTS2 chromosome, complete genome",15670,0.0519150938082885,15672.9,0.051924971111971
"525260","Corynebacterium accolens ATCC 49725 SCAFFOLD5, whole genome shotgun sequence",12601,0.0417474216386882,12504.9,0.0414294092106984
"29433","Moraxella ovis strain 199/55 chromosome, complete genome",10835,0.0358966203837145,10555,0.0349693069223386
"753702","Alkalibacterium subtropicum strain DSM 23664, whole genome shotgun sequence",4679,0.0155016416036364,4688.5,0.0155332510627369
"169292","Corynebacterium aurimucosum strain 1237_CAUR 173_5055_550973_73_,90+,99+, whole genome shotgun sequence",2547,0.00843827338415513,2194,0.00726874684897949
"467705","Streptococcus gordonii str. Challis substr. CH1, complete sequence",2519,0.00834550869834581,2393.8,0.00793064019307107
"573983","Moraxella porci DSM 25326 strain CCUG 54912 54912T_ctg_0000016, whole genome shotgun sequence",2142,0.00709649846441315,2419.7,0.00801651563320366
"1121354","Corynebacterium capitovis DSM 44611 A3E3DRAFT_scaffold00005.5_C, whole genome shotgun sequence",1331,0.00440963560043599,1461,0.00484037888987757
"1123317","Streptococcus sobrinus DSM 20742 = ATCC 33478 strain DSM 20742 BS63DRAFT_scaffold00049.49_C, whole genome shotgun sequence",953,0.00315731234201014,1020.5,0.00338091346465764
"1335","Streptococcus equinus strain AG46 BV58DRAFT_scf7180000000002_quiver_dupTrim_6839.1_C, whole genome shotgun sequence",932,0.00308773882765315,894.3,0.00296272997454458
"883081","Alloiococcus otitis ATCC 51267 supercont1.2, whole genome shotgun sequence",609,0.00201763191635276,635.7,0.00210622070189689
"1033743","Paenibacillus senegalensis JC66, whole genome shotgun sequence",602,0.00199444074490043,645,0.00213681821045967
"1367847","Paracoccus aminophilus JCM 7686, complete sequence",563,0.00186523278966601,554.6,0.00183736595699686
"365659","Streptococcus mitis B6, complete sequence",553,0.00183210254473411,634.2,0.00210128623287226
"1140003","Enterococcus sulfureus ATCC 49903 acyDF-supercont2.1, whole genome shotgun sequence",546,0.00180891137328178,523.6,0.00173476404196895
